Q1,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q2,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q3,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q4,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q5,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q6,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q7,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q8,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q9,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q10,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q11,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q12,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q13,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q14,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q15,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q16,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q17,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q18,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q19,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q20,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q21,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q22,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q23,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q24,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q25,1st Ans,2nd Ans,3rd Ans,4th Ans,3
Q26,1st Ans,2nd Ans,3rd Ans,4th Ans,4
Q27,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q28,1st Ans,2nd Ans,3rd Ans,4th Ans,1
Q29,1st Ans,2nd Ans,3rd Ans,4th Ans,2
Q30,1st Ans,2nd Ans,3rd Ans,4th Ans,2
